name,description,price,category,stock_quantity
Professional Tablet 22,"Back thing art political week trade. Hear throw hot along central democratic often.
Throw concern describe practice decision chair similar. Owner by perform she and no.",643.39,Clothing 3,164
Portable Monitor 23,"Require just impact. Than position woman story apply prepare threat.
Record write material individual water note. Factor start loss bring. Music ready model cut enjoy look.",1580.07,Toys 6,136
Portable Projector 24,Experience home performance big southern option soldier. Else effect example bill us look marriage be. Wear water think cultural city dinner customer. Cover sing small identify care.,1253.73,Movies 14,189
Portable Monitor 25,"Word wait discussion society plant four as. With majority song card investment.
Story system cost finish first. Line mother effect method would same true smile.",1395.19,Electronics 1,36
Portable Speaker 1,Seem accept attorney land then. Citizen process manager person left business improve analysis. Chair represent long again do listen reason.,231.10,Sports 5,114
Gaming Monitor 2,Usually build employee staff personal result. Southern explain participant market stock. Environment executive leader night role enter trial.,473.07,Stationery 23,59
Wireless Headphones 3,"Difficult ago your way. Threat indicate central truth store. Ago pressure hotel remain.
Involve city central have shoulder. Alone important structure up. Each run office benefit fast.",1813.65,Gardening 20,55
Wireless Speaker 4,Detail model most help agreement name agency. Skill rather newspaper keep four growth interest current. Available turn enjoy various assume. Lay mind several eye quality return air.,1669.94,Books 2,39
Smart Device 5,Shoulder game ok hot newspaper. List accept physical language describe standard. Much southern cost understand seek she race interview.,76.09,Tools 19,144
Professional Microphone 6,"Financial analysis shoulder behavior from garden.
Speak provide southern start. Name carry brother often.
Return security rise team.
Each focus particular green those guess. Half actually turn five.",1308.70,Baby 18,45
Smart Phone 7,Field on clearly college skin nothing. Rise expect down discussion drop rock physical. Oil especially floor sometimes.,923.01,Tools 19,60
Professional Display 8,Sing common your right several yet particularly. Cut war grow education early.,775.09,Toys 6,95
Wireless Headphones 9,"Too level first but month onto. Source line analysis value. Still suddenly hand necessary model his.
Occur understand threat call head stuff doctor. Subject leave paper city win.",1390.37,Health 10,198
Wireless Charger 10,Brother morning weight create. Tough medical far dog certainly enter rock. Career federal star a would politics.,139.72,Toys 6,35
Wireless Charger 11,"Technology difficult say nation. Themselves everybody age late election.
Address campaign take similar history space.",537.56,Home & Garden 4,14
Professional Microphone 12,"Here military individual building remember. Few deep enough simple no develop.
Thought drop consumer. Yard weight size citizen less. Modern before a that international.",1340.57,Tools 19,9
Smart Device 13,Anyone floor west cover why. Skill growth stock religious my baby own.,96.86,Baby 18,189
Wireless Headphones 14,"Door set forward she. Although think say add trial guy trade. By fine coach program wish.
Hope step behavior mean yard option yes. Between clear teacher wall maintain.",274.62,Gardening 20,11
Gaming Keyboard 15,"Question range establish.
Beyond anyone mission support situation education care product. Again such operation. Society beyond energy avoid paper lay.",390.93,Stationery 23,152
Portable Charger 16,"At well though world standard. Within degree appear require argue. Go start artist century environment product.
Require range carry friend big. Suggest west recognize smile.",70.09,Food 9,62
Portable Charger 17,Chance four throw image question. Under apply stage assume item own pattern relationship. Majority work theory might woman his represent.,1885.01,Fitness 21,37
Smart Phone 18,Upon teach thought economy station near pattern. High exist leader important heart many someone.,621.81,Health 10,113
Portable Charger 19,"Safe camera station.
Likely involve close heart maybe game. Represent according war animal. Run play brother cup admit notice.",1887.92,Health 10,127
Smart Phone 20,"Personal soon bit assume research kitchen.
Magazine show next you above. Notice modern international specific worker author picture mission.",754.98,Health 10,40
Wireless Mouse 21,Happen threat subject necessary. Visit more audience some.,136.45,Electronics 1,110
